Gyroscope: (-0.009524997,0.053636,0.201225)
Gyroscope: (0.33979502,0.019556,0.152235)
Gyroscope: (-0.084075,-0.069904,0.096855)
Gyroscope: (-0.154365,-6.7899935E-4,0.22998)
Gyroscope: (-0.06384,0.034466,0.098985)
Gyroscope: (0.31743002,3.860006E-4,0.08727)
Gyroscope: (-0.15542999,-0.23391399,0.0681)
Gyroscope: (-0.648525,-0.14125901,0.096855)
Gyroscope: (0.12573001,-0.040084,0.20655)
Gyroscope: (0.207735,-0.114634,0.13839)
Gyroscope: (-0.44404498,-0.048604,0.010589998)
Gyroscope: (-0.03615,0.058961,0.209745)
Gyroscope: (0.25353,0.065351,0.19803001)
Gyroscope: (-0.38547,-0.156169,-0.0021900013)
Gyroscope: (-0.2385,-0.068839,0.14904)
Gyroscope: (0.412215,-0.015589001,0.24276)
Gyroscope: (0.114015,0.032336,-0.068220004)
Gyroscope: (-0.031889997,-0.059253998,-0.10655999)
Gyroscope: (-0.038280003,-0.044344,0.18099)
Gyroscope: (-0.11495999,-0.020914,0.18525)
Gyroscope: (-0.056384996,0.081326,0.0020699985)
Gyroscope: (0.177915,-0.017719,0.054254998)
Gyroscope: (-0.21932998,-0.056059003,0.17992501)
Gyroscope: (-0.28535998,0.019556,0.143715)
Gyroscope: (0.246075,0.134576,-0.025620002)
Gyroscope: (0.36429,0.13777101,-0.07248001)
Gyroscope: (0.010710001,0.091976,0.0052649975)
Gyroscope: (-0.17140499,0.020621,0.064905)
Gyroscope: (-0.250215,-0.091204,-0.029879998)
Gyroscope: (-0.14691001,-0.16788399,-0.04266)
Gyroscope: (-0.035085,-0.158299,0.031889997)
Gyroscope: (-0.073425,0.016361,0.032955)
Gyroscope: (0.13425,0.093041,0.016979998)
Gyroscope: (0.109755,0.149486,0.0020699985)
Gyroscope: (0.014970001,0.100496,0.0020699985)
Gyroscope: (-0.13413,0.076001,-0.06609)
Gyroscope: (0.1449,0.008906,-0.020294998)
Gyroscope: (0.093779996,-0.065644,0.009524997)
Gyroscope: (-0.22997999,0.0067760004,-0.044790003)
Gyroscope: (0.026685001,-0.021979,0.05106)
Gyroscope: (-0.26619,-0.079489,0.060645)
Gyroscope: (-0.18312001,0.022751,0.064905)
Gyroscope: (0.121470004,0.13777101,-0.065025)
Gyroscope: (0.23116499,0.17185101,-0.069285005)
Gyroscope: (-0.07023,0.011036,0.05319)
Gyroscope: (-0.401445,-0.119959004,0.081945)
Gyroscope: (-0.010589998,-0.039019,0.06171)
Gyroscope: (0.3366,0.022751,0.02337)
Gyroscope: (-0.018045,0.033400998,-0.009645)
Gyroscope: (-0.15969,0.018491,0.031889997)
Gyroscope: (-0.088335,0.025946,-0.011775002)
Gyroscope: (0.121470004,0.036596,-5.9999526E-5)
Gyroscope: (0.137445,-0.043279,0.03402)
Gyroscope: (-0.29174998,-0.041149,-0.07887)
Gyroscope: (-0.08727,-0.064579,-0.08845499)
Gyroscope: (0.093779996,-0.102919,0.0255)
Gyroscope: (-0.17673,-0.14338899,0.0681)
Gyroscope: (-0.27897,-0.057123996,-0.010710001)
Gyroscope: (0.152355,0.063221,-0.019230004)
Gyroscope: (0.177915,0.060026,-0.022425)
Gyroscope: (-0.117089994,-0.0038740002,-0.007515002)
Gyroscope: (-0.20761499,-0.037954,-0.022425)
Gyroscope: (0.014970001,-0.061384,0.018044999)
Gyroscope: (0.071415,-0.122089006,0.060645)
Gyroscope: (-0.12135,-0.090139,0.013784997)
Gyroscope: (-0.103245,-0.082684,0.015914999)
Gyroscope: (-0.13519499,-0.12528399,0.024434999)
